status,canonical_name,ice,address,aliases,source_count,source_files,confidence,notes
approve,AFRICA GLOBAL LOGISTICS & SHIPPING MAROC,001527059000033,"43 BD KHALID IBNOU LOUALID, AIN SEBAA, CASABLANCA",AGL | AFRICA GLOBAL LOGISTICS & SHIPPING | AFRICA GLOBAL LOGISTICS & SHIPPING MAROC,27,FACTURES 2026/INV 013 AGL.pdf | FACTURES 2026/INV 014 AGL.pdf | FACTURES 2026/INV 06 AGL.pdf | FACTURES 2026/INV 07 AGL.pdf | FACTURES 2026/INV 08 AGL.pdf | FACTURES 2026/INV 09 AGL.pdf | FACTURES 2026/INV 16 AGL.pdf | FACTURES 2026/INV 17 AGL.pdf | FACTURES 2026/INV 19 AGL.pdf | FACTURES 2026/INV 20 AGL.pdf | FACTURES 2026/INV 23 AGL 1 (2).pdf | FACTURES 2026/INV 24 AGL 1 (1).pdf | FACTURES 2026/INV 27 AGL 2026.pdf | FACTURES 2026/INV 28 AGL 2026.pdf | FACTURES 2026/INV 34 AGL.pdf | FACTURES 2026/INV 37 AGL 2026.pdf | FACTURES 2026/INV 38 AGL 2026.pdf | FACTURES 2026/INV 40 AGL.pdf | FACTURES 2026/INV 41 AGL.pdf | FACTURES 2026/INV 42 AGL.pdf | FACTURES 2026/INV 47 AGL Mai.pdf | FACTURES 2026/INV 47 AGL.pdf | FACTURES 2026/INV 56 AGL Mdf.pdf | FACTURES 2026/INV 58 AGL .pdf | FACTURES 2026/INV 59 AGL Mdf.pdf | FACTURES 2026/INV 63 AGL .pdf | FACTURES 2026/INV 64 AGL.pdf,high,Address appears explicitly on multiple invoices.
approve,CHINA OVERSEAS ENGINEERING CORPORATION,001596313000044,"INARA, ROUTE 28 N°25, CALIFORNIE, 20150 CASABLANCA",COVEC | CHINA OVERSEAS ENGINEERING CORPORATION | CHINA OVERSEAS ENGINEERING CORPORATION SUCC,11,FACTURES 2026/INV 003 COVEC 第三份五金发票.pdf | FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 39 COVEC TANGER MDF.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 50 COVEC.pdf | FACTURES 2026/INV 54 COVEC TANGER mdf.pdf | FACTURES 2026/INV 57 COVEC.pdf | FACTURES 2026/INV 66 COVEC TANGER.pdf,high,Use ICE to merge COVEC and long-name variants.
approve,MINGDIAN INTERNATIONAL,003389053000034,,MINGDIAN | MINGDIAN COBCO | MINGDIAN TANGER | MINGDIANG INTERNATIONAL | MINGDIAN TNTERNATIONAL,14,FACTURES 2026/AVOIR/AVOIR SUR FACTURE MINGDIAN.pdf | FACTURES 2026/INV 001 MINGDIAN COBCO.pdf | FACTURES 2026/INV 002 MINGDIAN COBCO.pdf | FACTURES 2026/INV 25 MINGDIAN COBCO JANVIER FEVRIER.pdf | FACTURES 2026/INV 29 BIS MINGDIAN TANGER Déc Modf2.pdf | FACTURES 2026/INV 30 BIS MINGDIAN TANGER JAN Modf.pdf | FACTURES 2026/INV 31 MINGDIAN TANGER FEV.pdf | FACTURES 2026/INV 33 MINGDIAN TANGER MARS mdf.pdf | FACTURES 2026/INV 43 BIS MINGDIAN TANGER AVRIL.pdf | FACTURES 2026/INV 44 CITERNE MINGDIAN TANGER MARS..pdf | FACTURES 2026/INV 48 MINGDIAN COBCO MARS AVRIL.pdf | FACTURES 2026/INV 51 MINGDIAN MAI 2 TANGER.pdf | FACTURES 2026/INV 53 MINGDIAN TANGER MAI.pdf | FACTURES 2026/INV 62 MINGDIAN TANGER JUIN mdf.pdf,high,COBCO and Tanger appear to be project/site labels; ICE is consistent.
approve,GOTION POWER MOROCCO,003520699000060,,GOTION | GOTION POWER MOROCCO,7,FACTURES 2026/INV 003 GOTION (2).pdf | FACTURES 2026/INV 21 GOTION.pdf | FACTURES 2026/INV 55 GOTION.pdf | FACTURES 2026/INV 61 GOTION.pdf | FACTURES 2026/INV 65 GOTION.pdf | FACTURES 2026/INV 71 GOTION.pdf | FACTURES 2026/INV 72 GOTION.pdf,high,
approve,ZHONGLI CONSTRUCTION,003069395000031,,ZHONGLI | ZHONGLI CONSTRUCTION,4,FACTURES 2026/INV 005 ZHONGLI CONSTRUCTION.pdf | FACTURES 2026/INV 15 ZHONGLI CONSTRUCTION (2).pdf | FACTURES 2026/INV 22 ZHONGLI CONSTRUCTION.pdf | FACTURES 2026/INV 32 ZHONGLI CONSTRUCTION MARS.pdf,high,
approve,CHINA CONSTRUCTION YANGTZE MAROC,002086799000041,,CHINA CONSTRUCTION | CHINA CONSTRUCTION OCP | CHINA CONSTRUCTION YANGTZE MAROC,3,FACTURES 2026/INV 12 CHINA CONSTRUCTION OCP.pdf | FACTURES 2026/INV 24 BIS CHINA CONSTRUCTION OCP OCT-NOV (1).pdf | FACTURES 2026/INV 52 CHINA CONSTRUCTION.pdf,high,OCP appears to be a project label.
approve,ALMADEN MOROCCO,001921213000036,,ALMADEN | ALMADEN MOROCCO,1,FACTURES 2026/INV 010 ALMADEN MOROCCO (1).pdf,high,
approve,PLANET COM TRANS,001868774000077,,PLANET COM TRANS,1,FACTURES 2026/INV 26 PLANET COM TRANS.pdf,high,
approve,OVERSEAS LIFTING,003654969000048,,OVERSEAS LIFTING,1,FACTURES 2026/INV 35 OVERSEAS LIFTING.pdf,high,Client name resembles the issuer; ICE is different and confirms a separate entity.
approve,TG NORTH AFRICA SARL,003844653000083,,TG NORTH AFRICA | TG NORTH AFRICA SARL,2,FACTURES 2026/INV 36 TG NORTH AFRICA SARL.pdf | FACTURES 2026/INV 45 TG NORTH AFRICA SARL.pdf,high,
