source_file,number,date,client_ice,line_count,ht,line_ht,tva,line_tva,ttc,issues
FACTURES 2026/INV 001 MINGDIAN COBCO.pdf,001/2026/AI,2025-01-05,003389053000034,3,57313.42,57313.42,11462.68,11462.69,68776.1,printed date year differs from invoice number: 2025-01-05
FACTURES 2026/INV 002 MINGDIAN COBCO.pdf,002/2026/AI,2025-01-05,003389053000034,3,49384.6,49384.6,9876.92,9876.92,59261.52,printed date year differs from invoice number: 2025-01-05
FACTURES 2026/INV 003 COVEC 第三份五金发票.pdf,003/2026/AL,2026-01-06,001596313000044,19,108072.0,108072.0,21614.4,21614.4,129686.4,
FACTURES 2026/INV 003 GOTION (2).pdf,003/2026/AI,2026-01-05,003520699000060,4,251722.22,251722.22,0.0,0.0,251722.22,
FACTURES 2026/INV 005 ZHONGLI CONSTRUCTION.pdf,005/2026/AI,2026-01-12,003069395000031,1,44200.0,44200.0,8840.0,8840.0,53040.0,
FACTURES 2026/INV 010 ALMADEN MOROCCO (1).pdf,010/2026/AI,2026-01-20,001921213000036,1,46000.0,46000.0,9200.0,9200.0,55200.0,
FACTURES 2026/INV 013 AGL.pdf,013/2026/AI,2026-01-29,001527059000033,2,37145.0,37145.0,7429.0,7429.0,44574.0,
FACTURES 2026/INV 014 AGL.pdf,014/2026/AI,2026-01-29,001527059000033,2,38047.0,38047.0,7609.4,7609.4,45656.4,
FACTURES 2026/INV 06 AGL.pdf,006/2026/AI,2026-01-06,001527059000033,1,5400.0,5400.0,1080.0,1080.0,6480.0,
FACTURES 2026/INV 07 AGL.pdf,007/2026/AI,2026-01-06,001527059000033,2,5139.0,5139.0,1027.8,1027.8,6166.8,
FACTURES 2026/INV 08 AGL.pdf,008/2026/AI,2026-01-06,001527059000033,1,58000.0,58000.0,11600.0,11600.0,69600.0,
FACTURES 2026/INV 09 AGL.pdf,009/2026/AI,2026-01-06,001527059000033,2,24684.0,24684.0,4936.8,4936.8,29620.8,
FACTURES 2026/INV 11 COVEC.pdf,011/2026/AI,2026-01-01,001596313000044,21,1126599.0,1126599.0,225319.8,225319.8,1351918.8,
FACTURES 2026/INV 12 CHINA CONSTRUCTION OCP.pdf,012/2026/AI,2026-01-22,002086799000041,1,89230.77,89175.0,17846.15,17835.0,107076.92,line mismatch: LOCATION MENSUELLE GRUE MOBILE 75T qty=0.615 price=145000.00 printed=89230.77 | line HT differs from stated HT: lines=89175.00 stated=89230.77 | line TVA differs from stated TVA: lines=17835.00 stated=17846.15
FACTURES 2026/INV 15 ZHONGLI CONSTRUCTION (2).pdf,015/2026/AI,2026-02-11,003069395000031,2,119761.0,119761.0,23952.2,23952.2,143713.2,
FACTURES 2026/INV 16 AGL.pdf,016/2026/AI,2026-02-12,001527059000033,2,175000.0,175000.0,0.0,0.0,175000.0,
FACTURES 2026/INV 17 AGL.pdf,017/2026/AI,2026-02-13,001527059000033,2,41650.0,41650.0,8330.0,8330.0,49980.0,
FACTURES 2026/INV 18 COVEC .pdf,018/2026/AI,2026-02-01,001596313000044,25,1116896.0,1116896.0,223379.2,223379.2,1340275.2,
FACTURES 2026/INV 19 AGL.pdf,019/2026/AI,2026-02-23,001527059000033,2,4000.0,4000.0,800.0,800.0,4800.0,
FACTURES 2026/INV 21 GOTION.pdf,021/2026/AI,2026-02-26,003520699000060,5,236000.0,236000.0,0.0,0.0,236000.0,
FACTURES 2026/INV 22 ZHONGLI CONSTRUCTION.pdf,022/2026/AI,2026-03-06,003069395000031,2,81980.0,81980.0,16396.0,16396.0,98376.0,
FACTURES 2026/INV 23 AGL 1 (2).pdf,023/2026/AI,2026-03-09,001527059000033,3,322000.0,322000.0,0.0,0.0,322000.0,
FACTURES 2026/INV 23 BIS WWL MOROCCO.pdf,023/2026/AI/BIS,2026-03-11,,6,34106.08,34106.08,5158.3,5158.3,39264.38,
FACTURES 2026/INV 24 AGL 1 (1).pdf,024/2026/AI,2026-03-09,001527059000033,2,311000.0,311000.0,0.0,0.0,311000.0,
FACTURES 2026/INV 24 BIS CHINA CONSTRUCTION OCP OCT-NOV (1).pdf,024/2026/AI/BIS,2026-03-12,002086799000041,4,204000.0,204000.0,40800.0,40800.0,244800.0,
FACTURES 2026/INV 25 MINGDIAN COBCO JANVIER FEVRIER.pdf,025/2026/AI,2026-03-13,003389053000034,3,126000.0,126000.0,25200.0,25200.0,151200.0,
FACTURES 2026/INV 26 PLANET COM TRANS.pdf,026/2026/AI,2026-03-16,001868774000077,2,30000.0,30000.0,6000.0,6000.0,36000.0,
FACTURES 2026/INV 27 AGL 2026.pdf,027/2026/AI,2026-03-12,001527059000033,2,264000.0,264000.0,0.0,0.0,264000.0,
FACTURES 2026/INV 28 AGL 2026.pdf,028/2026/AI,2026-03-12,001527059000033,2,264000.0,264000.0,0.0,0.0,264000.0,
FACTURES 2026/INV 29 BIS MINGDIAN TANGER Déc Modf2.pdf,029/2026/AI/BIS,2026-03-19,003389053000034,6,80066.65,80066.65,16013.33,16013.33,96079.98,
FACTURES 2026/INV 29 COVEC.pdf,029/2026/AI,2026-04-18,001596313000044,21,709737.0,709737.0,141947.4,141947.4,851684.4,
FACTURES 2026/INV 30 BIS MINGDIAN TANGER JAN Modf.pdf,030/2026/AI/BIS,2026-03-19,003389053000034,7,155672.04,155672.04,31134.408,31134.41,186806.448,
FACTURES 2026/INV 30 COVEC.pdf,030/2026/AI,2026-05-09,001596313000044,22,934223.0,934223.0,186844.6,186844.6,1121067.6,
FACTURES 2026/INV 31 MINGDIAN TANGER FEV.pdf,031/2026/AI,2026-03-19,003389053000034,7,89222.18,89222.18,17844.43,17844.44,107066.616,
FACTURES 2026/INV 32 ZHONGLI CONSTRUCTION MARS.pdf,032/2026/AI,2026-03-27,003069395000031,1,78200.0,78200.0,15640.0,15640.0,93840.0,
FACTURES 2026/INV 33 MINGDIAN TANGER MARS mdf.pdf,033/2026/AI,2026-04-02,003389053000034,8,225794.3,225794.3,45158.86,45158.86,270953.16,
FACTURES 2026/INV 34 AGL.pdf,034/2026/AI,2026-04-20,001527059000033,2,6900.0,6900.0,1380.0,1380.0,8280.0,
FACTURES 2026/INV 35 OVERSEAS LIFTING.pdf,035/2026/AI,2024-03-19,003654969000048,1,12500.0,12500.0,2500.0,2500.0,15000.0,printed date year differs from invoice number: 2024-03-19
FACTURES 2026/INV 36 TG NORTH AFRICA SARL.pdf,036/2026/AI,2026-05-04,003844653000083,1,32560.0,32560.0,6512.0,6512.0,39072.0,
FACTURES 2026/INV 37 AGL 2026.pdf,037/2026/AI,2026-05-05,001527059000033,3,191000.0,191000.0,0.0,0.0,191000.0,
FACTURES 2026/INV 38 AGL 2026.pdf,038/2026/AI,2026-05-05,001527059000033,2,190000.0,190000.0,0.0,0.0,190000.0,
FACTURES 2026/INV 39 COVEC TANGER MDF.pdf,039/2026/AI,2026-05-06,001596313000044,9,45503.83,45503.83,9100.76,9100.77,54604.59,
FACTURES 2026/INV 40 AGL.pdf,040/2026/AI,2026-05-07,001527059000033,4,210000.0,206000.0,0.0,0.0,210000.0,line HT differs from stated HT: lines=206000.00 stated=210000.00
FACTURES 2026/INV 41 AGL.pdf,041/2026/AI,2026-05-11,001527059000033,3,193000.0,193000.0,0.0,0.0,193000.0,
FACTURES 2026/INV 42 AGL.pdf,042/2026/AI,2026-05-11,001527059000033,3,195000.0,195000.0,0.0,0.0,195000.0,
FACTURES 2026/INV 43 BIS MINGDIAN TANGER AVRIL.pdf,043/2026/AI/BIS,2026-05-12,003389053000034,9,112149.91,112149.92,22429.98,22429.99,134579.89,
FACTURES 2026/INV 43 MINGLAI.pdf,043/2026/AI,2026-05-11,003797353000081,2,75380.0,75380.0,15076.0,15076.0,90456.0,
FACTURES 2026/INV 44 CITERNE MINGDIAN TANGER MARS..pdf,044/2026/AI,2026-05-12,003389053000034,1,120000.0,120000.0,24000.0,24000.0,144000.0,
FACTURES 2026/INV 45 TG NORTH AFRICA SARL.pdf,045/2026/AI,2026-05-13,003844653000083,2,81400.0,81400.0,16280.0,16280.0,97680.0,
FACTURES 2026/INV 46 CROMAT.pdf,046/2026/AI,2026-04-25,003884477000080,19,375001.52,375001.52,75000.3,75000.31,450001.82,
FACTURES 2026/INV 47 AGL Mai.pdf,047/2026/AI,2026-05-20,001527059000033,2,651000.0,651000.0,0.0,0.0,651000.0,
FACTURES 2026/INV 48 MINGDIAN COBCO MARS AVRIL.pdf,048/2026/AI,2026-05-20,003389053000034,1,43000.0,43000.0,8600.0,8600.0,51600.0,
FACTURES 2026/INV 49 COVEC.pdf,049/2026/AI,2026-06-09,001596313000044,24,1539736.3,1539736.3,307947.26,307947.26,1847683.56,
FACTURES 2026/INV 50 COVEC.pdf,050/2026/AI,2026-06-04,001596313000044,4,27400.0,27400.0,5480.0,5480.0,32880.0,
FACTURES 2026/INV 52 CHINA CONSTRUCTION.pdf,052/2026/AI,2026-06-04,002086799000041,2,299448.72,299448.7,59889.74,59889.74,359338.46,
FACTURES 2026/INV 54 COVEC TANGER mdf.pdf,054/2026/AI,2026-06-11,001596313000044,11,344900.0,344900.0,68980.0,68980.0,413880.0,
FACTURES 2026/INV 55 GOTION.pdf,055/2026/AI,2026-06-22,003520699000060,9,117899.1,117899.1,0.0,0.0,117899.1,
FACTURES 2026/INV 56 AGL Mdf.pdf,056/2026/AI,2026-06-20,001527059000033,1,319500.0,319500.0,0.0,0.0,319500.0,
FACTURES 2026/INV 57 COVEC.pdf,057/2026/AI,2026-07-07,001596313000044,18,612636.6,612636.6,122527.32,122527.32,735163.92,
FACTURES 2026/INV 58 AGL .pdf,058/2026/AI,2026-06-25,001527059000033,1,283500.0,283500.0,0.0,0.0,283500.0,
FACTURES 2026/INV 59 AGL Mdf.pdf,059/2026/AI,2026-06-25,001527059000033,2,187000.0,187000.0,0.0,0.0,187000.0,
FACTURES 2026/INV 60 ZHONGCHENG TANGER JUIN 2026.pdf,060/2026/AI,2026-07-03,003775962000003,1,39000.0,39000.0,7800.0,7800.0,46800.0,
FACTURES 2026/INV 61 GOTION.pdf,061/2026/AI,2026-07-06,003520699000060,5,96078.18,96078.18,0.0,0.0,96078.18,
FACTURES 2026/INV 63 AGL .pdf,063/2026/AI,2026-06-26,001527059000033,1,283500.0,283500.0,0.0,0.0,283500.0,
FACTURES 2026/INV 64 AGL.pdf,064/2026/AI,2026-06-26,001527059000033,1,153900.0,153900.0,0.0,0.0,153900.0,
FACTURES 2026/INV 65 GOTION.pdf,065/2026/AI,2026-07-07,003520699000060,3,103000.0,103000.0,0.0,0.0,103000.0,
FACTURES 2026/INV 66 COVEC TANGER.pdf,066/2026/AI,2026-07-11,001596313000044,8,247582.26,203318.55,41263.71,40663.71,288845.97,line mismatch: -LOCATION D’UNE NACELE ELECTRIQUE 1 qty=30 price=850.00 printed=28500.00 | line HT differs from stated HT: lines=203318.55 stated=247582.26 | line TVA differs from stated TVA: lines=40663.71 stated=41263.71
FACTURES 2026/INV 68 COVEC.pdf,068/2026/AI,2026-08-18,001596313000044,18,656050.1,656050.1,131210.02,131210.02,787260.12,
FACTURES 2026/INV 70 FRACHT MAROC.pdf,070/2026/AI,2026-07-28,003320081000072,2,349000.0,349000.0,0.0,0.0,349000.0,
FACTURES 2026/INV 71 GOTION.pdf,071/2026/AI,2026-08-03,003520699000060,3,86779.7,86779.7,0.0,0.0,86779.7,
FACTURES 2026/INV 72 GOTION.pdf,072/2026/AI,2026-08-03,003520699000060,3,164555.5,164555.5,0.0,0.0,164555.5,
FACTURES 2026/INV 73 COVEC JUILLET TANGER .pdf,073/2026/AI,2026-08-08,001596313000044,18,257458.6,257458.6,51491.72,51491.73,308950.32,
FACTURES 2026/INV 74 MINGDIAN TANGER 3 mois mdf.pdf,074/2026/AI,2026-08-17,003389053000034,22,409888.62,409888.62,81977.72,81977.72,491866.34,
FACTURES 2026/INV 75 CHINA CONSTRUCTION MDF .pdf,075/2026/AI,2026-08-18,003489610000025,1,89230.77,89175.0,17846.15,17835.0,107076.92,line mismatch: LOCATION MENSUELLE GRUE MOBILE 75T qty=0.615 price=145000.00 printed=89230.77 | line HT differs from stated HT: lines=89175.00 stated=89230.77 | line TVA differs from stated TVA: lines=17835.00 stated=17846.15
FACTURES 2026/INV 76 GOTION 100T Août 2026.pdf,076/2026/AI,2026-08-31,003520699000060,1,135000.0,135000.0,0.0,0.0,135000.0,
FACTURES 2026/INV 77 COVEC AOUT TANGER.pdf,077/2026/AI,2026-09-01,001596313000044,16,293005.83,293005.83,58601.16,58601.17,351606.99,line mismatch: -LOCATION CHARIOT ELEVATEUR 3T (4) qty=22 price=769.23 printed=23846.13 | line mismatch: -LOCATION CHARIOT ELEVATEUR 3T (5) qty=9 price=769.23 printed=23846.13
FACTURES 2026/INV 78 GOTION AOUT.pdf,078/2026/AI,2026-09-01,003520699000060,2,86192.1,86192.1,0.0,0.0,86192.1,
FACTURES 2026/INV 80 MINGDIAN AOUT TANGER .pdf,080/2026/AI,2026-09-07,003389053000034,6,116266.66,116266.66,23253.33,23253.33,139519.99,
