type,number,date,partenaire_id,client_name,client_ice,client_address,city,has_cachet,line_items,tva_rate,ht,tva,ttc,is_active,is_locked
facture,001/2026/AI,2025-01-05,b0dede0c-950d-42a9-b6bb-d33db55420dd,MINGDIAN INTERNATIONAL,003389053000034,,Casablanca,false,"[{""desc"":""CHARIOT ELEVATEUR 5T"",""unit"":""JOUR"",""qty"":31.0,""unit_price"":1000.0},{""desc"":""PELLE SUR PNEUS AVEC MARTEAU"",""unit"":""JOUR"",""qty"":13.0,""unit_price"":1538.46},{""desc"":""CAMION 8*4"",""unit"":""JOUR"",""qty"":3.35,""unit_price"":1884.61}]",20,57313.42,11462.68,68776.1,true,true
facture,002/2026/AI,2025-01-05,b0dede0c-950d-42a9-b6bb-d33db55420dd,MINGDIAN INTERNATIONAL,003389053000034,,Casablanca,false,"[{""desc"":""CHARIOT ELEVATEUR 5T"",""unit"":""JOUR"",""qty"":30.0,""unit_price"":1000.0},{""desc"":""PELLE SUR PNEUS AVEC MARTEAU"",""unit"":""JOUR"",""qty"":10.0,""unit_price"":1538.46},{""desc"":""FRAIS MOBILISATION PELLE SUR PNEUS 1 ENTRER 1 SORTIE"",""unit"":""FF"",""qty"":2.0,""unit_price"":2000.0}]",20,49384.6,9876.92,59261.52,true,true
facture,003/2026/AL,2026-01-06,b00daf69-db4b-4fe8-8721-9591d7df85bf,CHINA OVERSEAS ENGINEERING CORPORATION,001596313000044,"INARA, ROUTE 28 N°25, CALIFORNIE, 20150 CASABLANCA",Casablanca,false,"[{""desc"":""Disjoncteur différentiel intégré 450/4P"",""unit"":""PIECE"",""qty"":1,""unit_price"":8300,""tva_rate"":20},{""desc"":""Disjoncteur différentiel 2p 40A"",""unit"":""PIECE"",""qty"":5,""unit_price"":305,""tva_rate"":20},{""desc"":""Projecteur de grue 2000 W"",""unit"":""PIECE"",""qty"":15,""unit_price"":3650,""tva_rate"":20},{""desc"":""Module de protection différentiel 250/4P"",""unit"":""PIECE"",""qty"":3,""unit_price"":1600,""tva_rate"":20},{""desc"":""Module de protection différentiel 160/4P"",""unit"":""PIECE"",""qty"":4,""unit_price"":1600,""tva_rate"":20},{""desc"":""Module de protection différentiel 100/4P"",""unit"":""PIECE"",""qty"":1,""unit_price"":1400,""tva_rate"":20},{""desc"":""Chaussure de sécurité N°41"",""unit"":""PAIRES"",""qty"":4,""unit_price"":180,""tva_rate"":20},{""desc"":""Chaussure de sécurité N°42"",""unit"":""PAIRES"",""qty"":2,""unit_price"":180,""tva_rate"":20},{""desc"":""Chaussure de sécurité ARMA TK N°43"",""unit"":""PAIRES"",""qty"":2,""unit_price"":180,""tva_rate"":20},{""desc"":""Chaussure de sécurité N°45"",""unit"":""PAIRES"",""qty"":1,""unit_price"":180,""tva_rate"":20},{""desc"":""Botte plastique"",""unit"":""PAIRE"",""qty"":17,""unit_price"":87,""tva_rate"":20},{""desc"":""Imperméable veste+pantalon"",""unit"":""PIECE"",""qty"":60,""unit_price"":144,""tva_rate"":20},{""desc"":""Pompe submersible turbine à deux canaux"",""unit"":""PIECE"",""qty"":2,""unit_price"":2950,""tva_rate"":20},{""desc"":""Huile hydraulique 20L"",""unit"":""SET"",""qty"":2,""unit_price"":1176,""tva_rate"":20},{""desc"":""Bande de signalisation R/B MAC 70MMX200M"",""unit"":""PIECE"",""qty"":1,""unit_price"":36,""tva_rate"":20},{""desc"":""Fourreau de protection pour pompe SV 5X2.5"",""unit"":""ML"",""qty"":200,""unit_price"":33,""tva_rate"":20},{""desc"":""Botte plastique N°36"",""unit"":""PAIRES"",""qty"":1,""unit_price"":150,""tva_rate"":20},{""desc"":""Parapluie"",""unit"":""PIECE"",""qty"":20,""unit_price"":96,""tva_rate"":20},{""desc"":""Frais de service"",""unit"":""F"",""qty"":1,""unit_price"":2200,""tva_rate"":20}]",20,108072.0,21614.4,129686.4,true,true
facture,003/2026/AI,2026-01-05,a03d5a5e-f0f0-4363-9f01-c7c55c1f67af,GOTION POWER MOROCCO,003520699000060,,Casablanca,false,"[{""desc"":""LOCATION JOURNALIERE D’UNE GRUE MOBILE 130T"",""unit"":""JOURS"",""qty"":11.0,""unit_price"":19000.0,""tva_rate"":0.0},{""desc"":""LOCATION D’UNE GRUE MOBILE 130T"",""unit"":""HEURES"",""qty"":2.0,""unit_price"":2111.11,""tva_rate"":0.0},{""desc"":""MOBILISATION GRUE 130T"",""unit"":""ALLER-RETOUR"",""qty"":1.0,""unit_price"":22000.0,""tva_rate"":0.0},{""desc"":""LOCATION JOURNALIERE D’UN CAMION PLATEAU"",""unit"":""JOURS"",""qty"":11.0,""unit_price"":1500.0,""tva_rate"":0.0}]",20,251722.22,0.0,251722.22,true,true
facture,005/2026/AI,2026-01-12,85aff188-c5db-4c7a-8c05-10c7fb9eda0d,ZHONGLI CONSTRUCTION,003069395000031,,Casablanca,false,"[{""desc"":""LOCATION JOURNALIERE DE 3 CAMIONS"",""unit"":""JOURS"",""qty"":26.0,""unit_price"":1700.0,""tva_rate"":20.0}]",20,44200.0,8840.0,53040.0,true,true
facture,010/2026/AI,2026-01-20,4762e414-808a-4375-b3a3-d434344333a5,ALMADEN MOROCCO,001921213000036,,Casablanca,false,"[{""desc"":""LOCATION FORFAITAIRE D’UN CHARIOT ELEVATEUR 12T"",""unit"":""FF"",""qty"":1.0,""unit_price"":46000.0}]",20,46000.0,9200.0,55200.0,true,true
facture,013/2026/AI,2026-01-29,c327769f-2f62-4a8b-876c-b3d2ebd79832,AFRICA GLOBAL LOGISTICS & SHIPPING MAROC,001527059000033,"43 BD KHALID IBNOU LOUALID, AIN SEBAA, CASABLANCA",Casablanca,false,"[{""desc"":""MISE A DISPOSITION CLARK"",""unit"":""MOIS"",""qty"":1.0,""unit_price"":25000.0,""tva_rate"":20.0},{""desc"":""MISE A DISPOSITION DE MAGASINIER ET ESPACE DE STOCKAGE"",""unit"":""MOIS"",""qty"":1.0,""unit_price"":12145.0,""tva_rate"":20.0}]",20,37145.0,7429.0,44574.0,true,true
facture,014/2026/AI,2026-01-29,c327769f-2f62-4a8b-876c-b3d2ebd79832,AFRICA GLOBAL LOGISTICS & SHIPPING MAROC,001527059000033,"43 BD KHALID IBNOU LOUALID, AIN SEBAA, CASABLANCA",Casablanca,false,"[{""desc"":""MISE A DISPOSITION MANITOU"",""unit"":""MOIS"",""qty"":1.0,""unit_price"":30000.0,""tva_rate"":20.0},{""desc"":""SANGLES 10 TONNES"",""unit"":""PIECES"",""qty"":20.0,""unit_price"":402.35,""tva_rate"":20.0}]",20,38047.0,7609.4,45656.4,true,true
facture,006/2026/AI,2026-01-06,c327769f-2f62-4a8b-876c-b3d2ebd79832,AFRICA GLOBAL LOGISTICS & SHIPPING MAROC,001527059000033,"43 BD KHALID IBNOU LOUALID, AIN SEBAA, CASABLANCA",Casablanca,false,"[{""desc"":""CALES EN BOIS"",""unit"":""PIECES"",""qty"":30.0,""unit_price"":180.0,""tva_rate"":20.0}]",20,5400.0,1080.0,6480.0,true,true
facture,007/2026/AI,2026-01-06,c327769f-2f62-4a8b-876c-b3d2ebd79832,AFRICA GLOBAL LOGISTICS & SHIPPING MAROC,001527059000033,"43 BD KHALID IBNOU LOUALID, AIN SEBAA, CASABLANCA",Casablanca,false,"[{""desc"":""HEURES SUPPLEMENTAIRES DU MAGASINIER"",""unit"":""HEURES"",""qty"":16.0,""unit_price"":269.0,""tva_rate"":20.0},{""desc"":""SANGLES"",""unit"":""PIECES"",""qty"":5.0,""unit_price"":167.0,""tva_rate"":20.0}]",20,5139.0,1027.8,6166.8,true,true
