status,canonical_name,default_unit,default_price,observed_price_examples,aliases,source_count,source_files,confidence,notes
approve,CHARIOT ELEVATEUR 3T,Jour,0,962; 23076/mois; 24000/mois,CHARIOT EELEVATEUR 3T | CHARIOT ELEVATEUR 3T,6,FACTURES 2026/INV 35 OVERSEAS LIFTING.pdf | FACTURES 2026/INV 39 COVEC TANGER MDF.pdf | FACTURES 2026/INV 54 COVEC TANGER mdf.pdf | FACTURES 2026/INV 55 GOTION.pdf | FACTURES 2026/INV 61 GOTION.pdf | FACTURES 2026/INV 66 COVEC TANGER.pdf,high,Forklift; day and month rates both occur.
approve,CHARIOT ELEVATEUR 5T,Jour,0,1076.92; 1077; 28000/mois,CHARIOT ELEVATEUR 5T,13,FACTURES 2026/INV 001 MINGDIAN COBCO.pdf | FACTURES 2026/INV 002 MINGDIAN COBCO.pdf | FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 25 MINGDIAN COBCO JANVIER FEVRIER.pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 48 MINGDIAN COBCO MARS AVRIL.pdf | FACTURES 2026/INV 50 COVEC.pdf | FACTURES 2026/INV 55 GOTION.pdf | FACTURES 2026/INV 57 COVEC.pdf | FACTURES 2026/INV 61 GOTION.pdf | FACTURES 2026/INV 71 GOTION.pdf,high,Forklift; hourly lines also occur.
approve,CHARIOT ELEVATEUR 16T,Jour,0,2115.38; 2115.40; 55000/mois,CHARIOT ELEVATEUR 16T,3,FACTURES 2026/INV 55 GOTION.pdf | FACTURES 2026/INV 61 GOTION.pdf | FACTURES 2026/INV 71 GOTION.pdf,high,Forklift; hourly lines also occur.
approve,CHARIOT ELEVATEUR TELESCOPIQUE,Jour,0,1200; 1300; 1500,CHARIOT ELEVATEUR TELESCOPIQUE | CHARIOT TELESCOPIQUE | TELEHANDLER,6,FACTURES 2026/INV 43 BIS MINGDIAN TANGER AVRIL.pdf | FACTURES 2026/INV 53 MINGDIAN TANGER MAI.pdf | FACTURES 2026/INV 54 COVEC TANGER mdf.pdf | FACTURES 2026/INV 60 ZHONGCHENG TANGER JUIN 2026.pdf | FACTURES 2026/INV 62 MINGDIAN TANGER JUIN mdf.pdf | FACTURES 2026/INV 66 COVEC TANGER.pdf,high,Capacity/height varies by invoice; consider model fields later.
approve,TRANSPALETTE ELECTRIQUE,Jour,0,350,TRANSPALETTE ELECTRIQUE,1,FACTURES 2026/INV 55 GOTION.pdf,high,
approve,NACELLE CISEAUX 8M,Mois,0,15000; 15500,NACELLE CISEAUX 8M,3,FACTURES 2026/INV 39 COVEC TANGER MDF.pdf | FACTURES 2026/INV 54 COVEC TANGER mdf.pdf | FACTURES 2026/INV 66 COVEC TANGER.pdf,high,Multiple units may be represented by the invoice quantity.
approve,NACELLE ELECTRIQUE 16M,Jour,0,850,NACELE ELECTRIQUE 16M | NACELLE ELECTRIQUE 16M,2,FACTURES 2026/INV 54 COVEC TANGER mdf.pdf | FACTURES 2026/INV 66 COVEC TANGER.pdf,high,
approve,NACELLE DIESEL 18M,Jour,0,850,NACELLE 18M | NACELLE DIESEL 18M,2,FACTURES 2026/INV 39 COVEC TANGER MDF.pdf | FACTURES 2026/INV 54 COVEC TANGER mdf.pdf,high,
approve,GRUE MOBILE 35T,Jour,0,2307,GRUE MOBILE 35 T | GRUE MOBILE 35T,5,FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,high,
approve,GRUE MOBILE 40T,Jour,0,2615,GRUE MOBILE 40T,4,FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,high,
approve,GRUE MOBILE 75T,Mois,0,145000,GRUE MOBILE 75T,2,FACTURES 2026/INV 12 CHINA CONSTRUCTION OCP.pdf | FACTURES 2026/INV 52 CHINA CONSTRUCTION.pdf,high,
approve,GRUE MOBILE 100T,Jour,0,4615; 5000,GRUE 100 T | GRUE MOBILE 100T,2,FACTURES 2026/INV 43 MINGLAI.pdf | FACTURES 2026/INV 72 GOTION.pdf,high,
approve,GRUE MOBILE 130T,Jour,0,13000; 19000,GRUE MOBILE 130T,2,FACTURES 2026/INV 003 GOTION (2).pdf | FACTURES 2026/INV 54 COVEC TANGER mdf.pdf,high,Large client-specific price variation; leave default price at zero.
approve,GRUE MOBILE 160T,Jour,0,21000,GRUE 160 T | GRUE MOBILE 160T,2,FACTURES 2026/INV 21 GOTION.pdf | FACTURES 2026/INV 65 GOTION.pdf,high,
approve,PELLE SUR CHENILLES CAT 320C,Jour,0,2000,PELLE SUR CHENILLES 320C,2,FACTURES 2026/INV 43 BIS MINGDIAN TANGER AVRIL.pdf | FACTURES 2026/INV 51 MINGDIAN MAI 2 TANGER.pdf,high,Hourly billing also occurs.
approve,PELLE SUR CHENILLES VOLVO,Jour,0,2000,PELLE SUR CHENILLES VOLVO,2,FACTURES 2026/INV 43 BIS MINGDIAN TANGER AVRIL.pdf | FACTURES 2026/INV 51 MINGDIAN MAI 2 TANGER.pdf,high,Hourly billing also occurs.
review,EXCAVATEUR SUR PNEUS CAT 318,Jour,0,1615,EXCAVATEUR SUR PNEU CAT 318,3,FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,medium,Invoices sometimes append asset/site identifiers.
review,EXCAVATEUR SUR PNEUS FIAT HITACHI,Jour,0,1615,EXCAVATEUR SUR PNEU FIAT HITACHI,3,FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,medium,Invoices sometimes append asset/site identifiers.
review,EXCAVATEUR SUR CHENILLES CAT 322,Jour,0,2076; 2300,EXCAVATEUR SUR CHENILLE CAT 322,5,FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,medium,Several apparent asset identifiers occur; decide whether to keep separate assets.
review,EXCAVATEUR SUR CHENILLES CAT 325,Jour,0,2076,EXCAVATEUR SUR CHENILLE CAT 325,5,FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,medium,
approve,CHARGEUSE 950H,Jour,0,2300,CHARGEUSE 950 H | CHARGEUSE 950H,6,FACTURES 2026/INV 29 BIS MINGDIAN TANGER Déc Modf2.pdf | FACTURES 2026/INV 30 BIS MINGDIAN TANGER JAN Modf.pdf | FACTURES 2026/INV 31 MINGDIAN TANGER FEV.pdf | FACTURES 2026/INV 33 MINGDIAN TANGER MARS mdf.pdf | FACTURES 2026/INV 43 BIS MINGDIAN TANGER AVRIL.pdf | FACTURES 2026/INV 53 MINGDIAN TANGER MAI.pdf,high,Hourly billing also occurs.
approve,TRACTOPELLE,Jour,0,1000,TRACTOPELLE,4,FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 62 MINGDIAN TANGER JUIN mdf.pdf,high,Some invoices distinguish TRACTOPELLE 1 and 2.
review,JCB AVEC MARTEAU,Jour,0,1538,JCB AVEC MARTEAU,3,FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 29 COVEC.pdf,medium,Spelling varies in source documents.
review,JCB AVEC GODET,Jour,0,1300,JCB AVEC GODGET,3,FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,medium,Spelling varies in source documents.
approve,CAMION 8X4,Jour,0,1600; 1700,CAMION 8*4,8,FACTURES 2026/INV 001 MINGDIAN COBCO.pdf | FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 31 MINGDIAN TANGER FEV.pdf | FACTURES 2026/INV 33 MINGDIAN TANGER MARS mdf.pdf | FACTURES 2026/INV 51 MINGDIAN MAI 2 TANGER.pdf | FACTURES 2026/INV 62 MINGDIAN TANGER JUIN mdf.pdf,high,
approve,CAMION CITERNE D'EAU,Jour,0,800,CAMION CITERNE | CAMION CITERNE D’EAU,6,FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 62 MINGDIAN TANGER JUIN mdf.pdf,high,
approve,CAMION GRUE,Jour,0,1923,CAMION GRUE,8,FACTURES 2026/INV 010 ALMADEN MOROCCO (1).pdf | FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 29 BIS MINGDIAN TANGER Déc Modf2.pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 30 COVEC.pdf | FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,high,
approve,CAMION PLATEAU,Jour,0,1500,CAMION PLATEAU,5,FACTURES 2026/INV 003 GOTION (2).pdf | FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 50 COVEC.pdf,high,
approve,COMPACTEUR,Jour,0,1400,COMPACTEUR,2,FACTURES 2026/INV 49 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,high,
review,PORTCHAR 100T,Fois,0,60000,PORTCHAR 100 T,3,FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 57 COVEC.pdf,medium,Verify the machine designation and intended unit.
exclude,MOBILISATION / DEMOBILISATION,Fois,0,,DEMOBILISATION | IMMOBILISATION | MOBILISATION,21,FACTURES 2026/INV 002 MINGDIAN COBCO.pdf | FACTURES 2026/INV 003 GOTION (2).pdf | FACTURES 2026/INV 24 BIS CHINA CONSTRUCTION OCP OCT-NOV (1).pdf | FACTURES 2026/INV 25 MINGDIAN COBCO JANVIER FEVRIER.pdf | FACTURES 2026/INV 26 PLANET COM TRANS.pdf | FACTURES 2026/INV 29 BIS MINGDIAN TANGER Déc Modf2.pdf | FACTURES 2026/INV 37 AGL 2026.pdf | FACTURES 2026/INV 38 AGL 2026.pdf | FACTURES 2026/INV 39 COVEC TANGER MDF.pdf | FACTURES 2026/INV 40 AGL.pdf | FACTURES 2026/INV 41 AGL.pdf | FACTURES 2026/INV 42 AGL.pdf | FACTURES 2026/INV 43 MINGLAI.pdf | FACTURES 2026/INV 45 TG NORTH AFRICA SARL.pdf | FACTURES 2026/INV 47 AGL Mai.pdf | FACTURES 2026/INV 51 MINGDIAN MAI 2 TANGER.pdf | FACTURES 2026/INV 54 COVEC TANGER mdf.pdf | FACTURES 2026/INV 55 GOTION.pdf | FACTURES 2026/INV 65 GOTION.pdf | FACTURES 2026/INV 66 COVEC TANGER.pdf | FACTURES 2026/INV 72 GOTION.pdf,high,"Service line, not a machine."
exclude,TRANSPORTATION / TRIP,Fois,0,,MAIN SHAFT | TRANSPORT | TRANSPORTATION,22,FACTURES 2026/INV 11 COVEC.pdf | FACTURES 2026/INV 16 AGL.pdf | FACTURES 2026/INV 18 COVEC .pdf | FACTURES 2026/INV 23 AGL 1 (2).pdf | FACTURES 2026/INV 23 BIS WWL MOROCCO.pdf | FACTURES 2026/INV 24 AGL 1 (1).pdf | FACTURES 2026/INV 27 AGL 2026.pdf | FACTURES 2026/INV 28 AGL 2026.pdf | FACTURES 2026/INV 29 COVEC.pdf | FACTURES 2026/INV 37 AGL 2026.pdf | FACTURES 2026/INV 38 AGL 2026.pdf | FACTURES 2026/INV 40 AGL.pdf | FACTURES 2026/INV 41 AGL.pdf | FACTURES 2026/INV 42 AGL.pdf | FACTURES 2026/INV 47 AGL Mai.pdf | FACTURES 2026/INV 47 AGL.pdf | FACTURES 2026/INV 50 COVEC.pdf | FACTURES 2026/INV 56 AGL Mdf.pdf | FACTURES 2026/INV 58 AGL .pdf | FACTURES 2026/INV 59 AGL Mdf.pdf | FACTURES 2026/INV 63 AGL .pdf | FACTURES 2026/INV 64 AGL.pdf,high,"Transport service, not a machine."
exclude,CUSTOMS / DEDOUANEMENT,Fois,0,,CUSTOMS | DEDOUANEMENT | DOUANE,3,FACTURES 2026/INV 23 BIS WWL MOROCCO.pdf | FACTURES 2026/INV 51 MINGDIAN MAI 2 TANGER.pdf | FACTURES 2026/INV 55 GOTION.pdf,high,"Service line, not a machine."
exclude,TRUCK DETENTION / STORAGE / HANDLING,Fois,0,,HANDLING | STORAGE | TRUCK DETENTION,4,FACTURES 2026/INV 23 AGL 1 (2).pdf | FACTURES 2026/INV 23 BIS WWL MOROCCO.pdf | FACTURES 2026/INV 27 AGL 2026.pdf | FACTURES 2026/INV 28 AGL 2026.pdf,high,"Logistics service, not a machine."
